Assignment,Presentation,Attendance,Quiz,MidTerm,Final,CGPA
4,5,3,2,7,21,2.00
10,9,9,8,13,25,3.50
10,10,10,8,11,33,4.00
1,1,2,0,0,2,1.25
4,5,5,0,1,5,1.25
4,1,0,3,2,4,1.25
6,7,5,6,8,18,2.50
10,8,9,9,15,30,4.00
5,3,5,3,9,19,2.00
8,8,8,3,12,28,3.25
1,1,2,1,4,11,1.25
4,4,5,5,12,27,2.75
7,7,7,4,7,27,2.75
6,6,8,5,11,31,3.25
5,7,5,2,8,14,2.00
5,3,4,3,6,6,1.25
7,8,7,6,8,27,3.00
2,4,3,1,0,3,1.25
7,8,8,3,1,11,1.75
4,3,6,2,2,6,1.25
2,3,2,0,1,8,1.25
2,3,2,1,4,19,1.50
8,7,8,2,9,25,2.75
7,7,7,6,10,22,2.75
4,6,5,6,10,20,2.50
9,9,7,6,13,33,3.75
6,4,4,3,8,19,2.00
2,5,4,3,7,7,1.25
9,7,10,6,7,28,3.25
3,4,4,4,3,8,1.25
6,5,6,4,7,13,2.00
2,3,1,3,2,7,1.25
0,2,0,0,1,10,1.25
10,10,10,6,13,31,4.00
4,5,4,4,10,25,2.50
7,10,9,7,17,30,4.00
6,7,6,3,6,28,2.75
4,6,5,1,7,13,1.75
8,6,5,5,13,17,2.50
4,4,5,0,3,17,1.50
0,0,0,0,1,4,1.25
5,4,4,2,7,13,1.75
0,0,0,0,10,12,1.25
8,9,10,4,17,27,3.75
7,7,7,5,5,22,2.50
8,7,6,6,10,28,3.25
5,4,4,2,5,15,1.75
9,10,10,6,12,28,3.75
7,8,7,6,9,22,2.75
2,1,2,4,5,21,1.75
10,10,9,6,11,37,4.00
4,4,6,5,5,19,2.00
8,10,7,6,8,24,3.00
8,8,8,6,8,32,3.50
7,8,10,4,15,26,3.50
9,8,10,5,13,21,3.25
6,7,7,4,11,26,3.00
5,3,4,3,4,11,1.50
2,2,2,2,4,9,1.25
7,8,9,3,9,25,3.00
3,4,2,4,0,12,1.25
1,2,0,5,6,6,1.25
10,10,10,6,16,34,4.00
6,7,7,2,5,20,2.25
5,3,5,2,1,14,1.50
6,7,7,7,12,29,3.25
5,4,4,1,4,11,1.25
7,7,8,6,12,23,3.00
3,4,4,1,8,9,1.25
7,7,9,6,10,30,3.25
9,7,8,4,14,34,3.75
1,1,0,0,1,5,1.25
4,1,5,1,0,6,1.25
9,9,9,6,11,30,3.50
9,8,8,7,15,31,3.75
6,6,7,5,15,28,3.25
10,8,8,6,12,25,3.25
6,5,5,0,0,5,1.25
7,5,8,5,10,18,2.50
4,1,3,3,2,7,1.25
10,10,10,8,12,37,4.00
9,7,8,6,12,28,3.50
5,4,4,4,6,23,2.25
2,3,2,1,3,2,1.25
8,8,8,4,11,30,3.25
5,3,5,3,2,12,1.50
